epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.598,1.61094,2.57948,1.51711,0.4833,0.27348,0.29541,0.15634,1.53989,3.09034,1.41255,0.000647059,0.000647059,0.000647059
2,356.77,1.55539,1.97591,1.45146,0.50485,0.34254,0.32974,0.15584,1.68038,2.61527,1.55646,0.00128771,0.00128771,0.00128771
3,534.93,1.56706,1.86197,1.46035,0.4476,0.33425,0.34491,0.16458,1.76955,2.47708,1.6681,0.00190197,0.00190197,0.00190197
4,713.787,1.56038,1.83854,1.49516,0.5802,0.34807,0.41025,0.19658,1.74397,2.23386,1.7226,0.0018812,0.0018812,0.0018812
5,887.718,1.54046,1.72228,1.439,0.52306,0.47262,0.47571,0.23477,1.63061,2.02684,1.60446,0.0018416,0.0018416,0.0018416
6,1061.65,1.56279,1.69666,1.47884,0.52572,0.45304,0.49025,0.25278,1.6409,1.95094,1.5897,0.001802,0.001802,0.001802
7,1229.84,1.49222,1.60747,1.44029,0.68736,0.30366,0.34876,0.1838,1.87032,2.37189,1.75861,0.0017624,0.0017624,0.0017624
8,1398.59,1.47696,1.52685,1.43084,0.64856,0.39779,0.47247,0.25789,1.66996,1.83137,1.53891,0.0017228,0.0017228,0.0017228
9,1571.74,1.4604,1.47283,1.38389,0.67448,0.48079,0.5967,0.3382,1.49914,1.61896,1.47095,0.0016832,0.0016832,0.0016832
10,1753.94,1.45472,1.42185,1.38999,0.65645,0.52486,0.60746,0.3376,1.49092,1.60885,1.41225,0.0016436,0.0016436,0.0016436
11,1927.98,1.40939,1.36317,1.36043,0.6207,0.50276,0.56786,0.3049,1.60663,1.80278,1.55925,0.001604,0.001604,0.001604
12,2109.53,1.41896,1.38629,1.37703,0.51632,0.42541,0.4169,0.23071,1.59966,2.20927,1.56838,0.0015644,0.0015644,0.0015644
13,2285.3,1.38932,1.3348,1.33898,0.74434,0.58711,0.68566,0.3847,1.44855,1.46277,1.3768,0.0015248,0.0015248,0.0015248
14,2465.29,1.35901,1.28223,1.3327,0.67764,0.52486,0.61393,0.35272,1.48034,1.54704,1.39065,0.0014852,0.0014852,0.0014852
15,2645.01,1.3556,1.26425,1.32911,0.694,0.5663,0.64361,0.3336,1.4561,1.52123,1.3864,0.0014456,0.0014456,0.0014456
